"taxa","ids","rx","ry","A","psid"
"Krill","path4528","50.808067","18.588318","741.758697541672","TIMER_2019_03_06 at 05_01_37 IMG_0055.svg"
"Ophiuroid - Ophionotus victoriae","path936","64.755035","57.306801","2914.53711113325","TIMER_2019_03_06 at 05_01_37 IMG_0055.svg"
"Ophiuroid - Ophionotus victoriae","path1850","29.57383","29.646854","688.614349009393","TIMER_2019_03_06 at 05_01_37 IMG_0055.svg"
"Ophiuroid - Ophionotus victoriae","path1954","50.188457","48.949238","1929.47724307193","TIMER_2019_03_06 at 05_01_37 IMG_0055.svg"
"Ophiuroid - Ophionotus victoriae","path3899","59.941788","56.843731","2676.09884315976","TIMER_2019_03_06 at 05_01_37 IMG_0055.svg"
"Ascidian - Pyura bouvetensis","path2059","5.9512768","5.6957006","26.6223987314003","TIMER_2019_03_06 at 05_01_37 IMG_0055.svg"
"Ascidian - Pyura bouvetensis","path2185","13.143925","13.289968","137.195191090876","TIMER_2019_03_06 at 05_01_37 IMG_0055.svg"
"Ascidian - Pyura bouvetensis","path2187","10.807227","9.7849226","83.0541905118302","TIMER_2019_03_06 at 05_01_37 IMG_0055.svg"
"Ascidian - Pyura bouvetensis","path2440","4.3082862","7.0831151","23.9672787139902","TIMER_2019_03_06 at 05_01_37 IMG_0055.svg"
"Ascidian - Pyura bouvetensis","path2486","8.3975077","14.458318","95.3582043819594","TIMER_2019_03_06 at 05_01_37 IMG_0055.svg"
"Ascidian - Pyura bouvetensis","path2892","14.385296","13.801122","155.927630368571","TIMER_2019_03_06 at 05_01_37 IMG_0055.svg"
"Ascidian - Pyura bouvetensis","path3771","13.734701","14.767385","159.298867495569","TIMER_2019_03_06 at 05_01_37 IMG_0055.svg"
"Ascidian - Pyura bouvetensis","path3795","9.9654036","9.1392555","71.531213460672","TIMER_2019_03_06 at 05_01_37 IMG_0055.svg"
"Ascidian - Pyura bouvetensis","path4410","12.082406","11.875869","112.69605272169","TIMER_2019_03_06 at 05_01_37 IMG_0055.svg"
"Ascidian - Pyura bouvetensis","path4412","12.702017","13.631433","135.989095230604","TIMER_2019_03_06 at 05_01_37 IMG_0055.svg"
"Ascidian - Pyura bouvetensis","path4414","6.2798753","5.6957006","28.09234889227","TIMER_2019_03_06 at 05_01_37 IMG_0055.svg"
"Ascidian - Pyura bouvetensis","path4416","7.521246","6.4259191","37.9590144894939","TIMER_2019_03_06 at 05_01_37 IMG_0055.svg"
"Ascidian - Pyura bouvetensis","path4418","6.7180061","5.1115265","26.9699966116386","TIMER_2019_03_06 at 05_01_37 IMG_0055.svg"
"Echinoderm","path3015","13.509034","11.902554","126.285746729836","TIMER_2019_03_06 at 05_01_37 IMG_0055.svg"
"Gorgonian - Thouarella","path2591","26.579937","10.953271","228.65866390011","TIMER_2019_03_06 at 05_01_37 IMG_0055.svg"
"Gorgonian - Thouarella","ellipse2691","26.579937","10.953271","228.65866390011","TIMER_2019_03_06 at 05_01_37 IMG_0055.svg"
"Gorgonian - Thouarella","path3631","10.378476","14.354312","117.005384575531","TIMER_2019_03_06 at 05_01_37 IMG_0055.svg"
"Gorgonian - Thouarella","path54934","9.8579435","10.442119","80.8471740827747","TIMER_2019_03_06 at 05_01_37 IMG_0055.svg"
"Gorgonian - Thouarella","path4306","47.29694","18.794853","698.171085186269","TIMER_2019_03_06 at 05_01_37 IMG_0055.svg"
"Notocrangon","path4148","17.634766","12.851838","178.001976719196","TIMER_2019_03_06 at 05_01_37 IMG_0055.svg"
"Notocrangon","path4422","2.9208722","7.3021808","16.7515507873502","TIMER_2019_03_06 at 05_01_37 IMG_0055.svg"
"Holothuroidea - Laetmogone violacea","path2716","24.096319","46.593933","881.799719208502","TIMER_2019_03_06 at 05_01_37 IMG_0055.svg"
"Clump","path2292","27.748285","8.3244858","181.419282343213","TIMER_2019_03_06 at 05_01_37 IMG_0055.svg"
"Clump","path3167","13.166725","8.4680109","87.5687307061249","TIMER_2019_03_06 at 05_01_37 IMG_0055.svg"
"Clump","path4420","37.314144","22.052586","646.283233173962","TIMER_2019_03_06 at 05_01_37 IMG_0055.svg"
"Benthic Fish","path7609","65.265648","19.207928","984.589170860303","TIMER_2019_03_06 at 05_08_44 IMG_0081.svg"
"Asteroidea","path9901","139.5497","146.55978","16063.2564513382","TIMER_2019_03_06 at 05_08_44 IMG_0081.svg"
"Ophiuroid traces","path11342","75.796631","74.920372","4460.04981101017","TIMER_2019_03_06 at 05_08_44 IMG_0081.svg"
"Ophiuroid traces","path11550","75.650589","73.898064","4390.71507845959","TIMER_2019_03_06 at 05_08_44 IMG_0081.svg"
"Ophiuroid traces","path11552","56.372833","52.283615","2314.86330221102","TIMER_2019_03_06 at 05_08_44 IMG_0081.svg"
"Krill","path9356","11.359528","26.023643","232.17650012747","TIMER_2019_03_06 at 05_08_44 IMG_0081.svg"
"Krill","path9460","22.719055","9.1908894","163.997672426165","TIMER_2019_03_06 at 05_08_44 IMG_0081.svg"
"Krill","path9794","39.723862","15.334579","478.42427023487","TIMER_2019_03_06 at 05_08_44 IMG_0081.svg"
"Notocrangon","path9690","16.648972","37.971336","496.515924659007","TIMER_2019_03_06 at 05_08_44 IMG_0081.svg"
"Notocrangon","path886","11.15299","35.111263","307.558437644837","TIMER_2019_03_06 at 05_08_44 IMG_0081.svg"
"Notocrangon","path1230","7.022253","19.001392","104.797704821468","TIMER_2019_03_06 at 05_08_44 IMG_0081.svg"
"Hydroid - solitary","path1335","15.334579","10.661184","128.400636751776","TIMER_2019_03_06 at 05_08_44 IMG_0081.svg"
"Buried ophiuroid","path11555","48.92461","47.75626","1835.04856192995","TIMER_2019_03_06 at 05_08_44 IMG_0081.svg"
"Buried ophiuroid","path12348","81.375526","85.919334","5491.29268465659","TIMER_2019_03_06 at 05_08_44 IMG_0081.svg"
"Bryozoan clumps","path979","25.557631","20.738192","416.275995302516","TIMER_2019_03_06 at 05_13_18 IMG_0104.svg"
"Notocrangon","path985","13.7281","53.30592","574.745736870915","TIMER_2019_03_06 at 05_13_18 IMG_0104.svg"
"Notocrangon","path1413","37.241119","13.874143","405.806285724097","TIMER_2019_03_06 at 05_13_18 IMG_0104.svg"
"Notocrangon","path1517","9.3467913","27.602243","202.6267608477","TIMER_2019_03_06 at 05_13_18 IMG_0104.svg"
"Notocrangon","path1519","21.614454","10.223053","173.546061871667","TIMER_2019_03_06 at 05_13_18 IMG_0104.svg"
"Notocrangon","path1623","35.050468","12.413708","341.731669279756","TIMER_2019_03_06 at 05_13_18 IMG_0104.svg"
"Notocrangon","path1850","47.329578","19.756905","734.414808354535","TIMER_2019_03_06 at 05_13_18 IMG_0104.svg"
"Buried actinarian","path982","18.401495","15.845732","229.010447700154","TIMER_2019_03_06 at 05_13_18 IMG_0104.svg"
"Buried actinarian","path2405","17.762169","16.109875","224.738796012179","TIMER_2019_03_06 at 05_13_18 IMG_0104.svg"
"Buried actinarian","path10745","43.372738","33.768776","1150.32892285272","TIMER_2019_03_06 at 05_13_18 IMG_0104.svg"
"Buried actinarian","path10747","16.522949","18.381779","238.542070266476","TIMER_2019_03_06 at 05_13_18 IMG_0104.svg"
"Buried actinarian","path872","13.424896","13.011822","137.195202460387","TIMER_2019_03_06 at 05_13_18 IMG_0104.svg"
"Hydroid - solitary","path875","8.8810844","12.805285","89.319262287529","TIMER_2019_03_06 at 05_13_18 IMG_0104.svg"
"dropstones","path878","171.89577","78.747643","10631.4532761278","TIMER_2019_03_06 at 05_13_18 IMG_0104.svg"
"Ascidian - Pyura bouvetensis","path1728","38.263428","27.164112","816.336602168708","TIMER_2019_03_06 at 05_13_18 IMG_0104.svg"
"Ascidian - Cnemidocarpa verrucosa","path2961","69.337105","50.232445","2735.52005808631","TIMER_2019_03_06 at 05_17_46 IMG_0128.svg"
"Ascidian - Cnemidocarpa verrucosa","path4849","19.277756","25.557631","386.960785496587","TIMER_2019_03_06 at 05_17_46 IMG_0128.svg"
"Ophiuroid traces","path4876","23.220934","24.535326","447.467397686733","TIMER_2019_03_06 at 05_17_46 IMG_0128.svg"
"Ophiuroid traces","path4878","25.995762","20.738192","423.412158200317","TIMER_2019_03_06 at 05_17_46 IMG_0128.svg"
"dropstones","path891","42.133518","45.43811","1503.61919992769","TIMER_2019_03_06 at 05_17_46 IMG_0128.svg"
"Ascidian - Pyura bouvetensis","path2785","18.985668","17.817322","265.679589940366","TIMER_2019_03_06 at 05_17_46 IMG_0128.svg"
