x,for_supplement,group,col
Actiniaria...Hormathia.lacunifera,Actiniarian_Hormathia_lacunifera,Actiniarians,#DECBE4
Actiniarian,Actiniarian_Edwardsia,Actiniarians,#DECBE4
Actiniarian....Edwardsia,Amphipod,Crustaceans,orange
Amphipod,Amphipod_Epimira,Crustaceans,orange
Amphipod...Epimira,Actiniarian,Actiniarians,#DECBE4
Ascidian,Ascidian,Ascidians,#7570B3
Ascidian...Cnemidocarpa.verrucosa,Ascidian_Cnemidocarpa_verrucosa,Ascidians,#7570B3
Ascidian...Compound,Ascidian_Compound,Ascidians,#7570B3
Ascidian...Distaplia.cylindrica,Ascidian_Distaplia_cylindrica,Ascidians,#7570B3
Ascidian...Pyura.bouvetensis,Ascidian_Pyura_bouvetensis,Ascidians,#7570B3
Asteroidea,Starfish,Starfish,#CC99FF
Benthic.Fish,Benthic_Fish,Fish,#A6CEE3
Brachiopoda...Novocrania.lecointei,Brachiopoda_Novocrania_lecointei,Brachiopods,#99FFFC
bryozoan,Bryozoan,Bryozoans,#FFF2AE
Bryozoan...Reteporella.,Bryozoan_Reteporella,Bryozoans,#FFF2AE
Bryozoan.clumps,Bryozoan_Clumps,Bryozoans,#FFF2AE
Buried.actiniarian,Actiniarian_buried,Actiniarians,#DECBE4
Buried.ophiuroid,Ophiuroid_buried,Ophiuroids,#FDCDAC
Clump,Clump,Clumps,#B2DF8A
cup.coral,Cup_coral,Cup_corals,#FCCDE5
Echinoderm,Echinoid,Echinoids,#666666
Echinoderm...Sterechinus,Echinoderm_Sterechinus,Echinoids,#666666
Gorgonian...Echinisis,Gorgonian_Echinisis,Gorgonians,#BC80BD
Gorgonian...Primnoella,Gorgonian_Primnoella,Gorgonians,#BC80BD
Gorgonian...Primnoisis,Gorgonian_Primnoisis,Gorgonians,#BC80BD
Gorgonian...Thouarella,Gorgonian_Thouarella,Gorgonians,#BC80BD
Gorgonian.clump,Gorgonian_Clump,Gorgonians,#BC80BD
Gorgonians,Gorgonian_general,Gorgonians,#BC80BD
Holothurian,Holothurian,Holothurians,#E5C494
Holothuroid...Bathyplotes.bongraini,Holothurian_Bathyplotes_bongraini,Holothurians,#E5C494
Holothuroidea...Laetmogone.violacea,Holothurian_Laetmogone_violacea,Holothurians,#E5C494
Hydroid...solitary,Hydroid_solitary,Hydroids,#D95F02
Hydroid.clump,Hydroid_clump,Hydroids,#D95F02
Isopod...Ceratoserolis.trilobitoides,Isopod_Ceratoserolis_trilobitoides,Crustaceans,orange
Mysids,Mysids,Crustaceans,orange
Nemertea,Nermertean_worm,Worms,#7FC97F
Notocrangon,Notocrangon,Crustaceans,orange
Octocoral.Anthomastus,Octocoral_Anthomastus,Octocorals,#E7298A
Octopus...Pareledone,Octopus_Pareledone,Octopus,#6A3D9A
Ophiuroid...Ophionotus.victoriae,Ophionotus_victoriae,Ophiuroids,#FDCDAC
Ophiuroid...Ophioperla,Ophioperla,Ophiuroids,#FDCDAC
Ophiuroid.traces,Ophioroid_traces,delete,delete
Pennatularia...Umbellula,Pennatularia_Umbellula,Octocorals,#E7298A
Serpula.narconensis,Serpula_narconensi,Worms,#7FC97F
Serpulids,Serpulids,Worms,#7FC97F
Sponge...Cinachyra.antarctica,Sponge_Cinachyra_antarctica,Demosponges,#E78AC3
Sponge...Isodictya,Sponge_Isodictya,Demosponges,#E78AC3
Sponge...Rosella.,Sponde_Rosella,Demosponges,#E78AC3
sponges,Sponge_general,Demosponges,#E78AC3
