,Actiniarian_Hormathia_lacunifera,Actiniarian_Edwardsia,Amphipod,Amphipod_Epimira,Actiniarian,Ascidian,Ascidian_Cnemidocarpa_verrucosa,Ascidian_Compound,Ascidian_Distaplia_cylindrica,Ascidian_Pyura_bouvetensis,Starfish,Benthic_Fish,Brachiopoda_Novocrania_lecointei,Bryozoan,Bryozoan_Reteporella,Bryozoan_Clumps,Actiniarian_buried,Ophiuroid_buried,Clump,Cup_coral,Echinoid,Echinoderm_Sterechinus,Gorgonian_Echinisis,Gorgonian_Primnoella,Gorgonian_Primnoisis,Gorgonian_Thouarella,Gorgonian_Clump,Gorgonian_general,Holothurian,Holothurian_Bathyplotes_bongraini,Holothurian_Laetmogone_violacea,Hydroid_solitary,Hydroid_clump,Isopod_Ceratoserolis_trilobitoides,Mysids,Nermertean_worm,Notocrangon,Octocoral_Anthomastus,Octopus_Pareledone,Ophionotus_victoriae,Ophioperla,Ophioroid_traces,Pennatularia_Umbellula,Serpula_narconensi,Serpulids,Sponge_Cinachyra_antarctica,Sponge_Isodictya,Sponde_Rosella,Sponge_general
TIMER_2019_03_06_at_05_01_37_IMG_0055,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,5,0,0,0,0,1,0,0,0,0,0,2,0,0,4,0,0,0,0,0,0,0,0,0
TIMER_2019_03_06_at_05_08_44_IMG_0081,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0
TIMER_2019_03_06_at_05_13_18_IMG_0104,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
TIMER_2019_03_06_at_05_17_46_IMG_0128,0,0,0,0,0,0,2,0,0,3,1,0,0,1,0,0,3,0,0,0,0,0,0,0,3,5,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,2,0,0,0,0,0,0,0
TIMER_2019_03_06_at_05_18_25_IMG_0133,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,1,0,0,0,0,0,0,0,0,0
TIMER_2019_03_06_at_05_19_15_IMG_0138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,6,0,0,0,0,0,0,0
TIMER_2019_03_06_at_05_24_29_IMG_0167,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0
TIMER_2019_03_06_at_05_28_23_IMG_0188,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,6,0,0,0,0,0,0,0,0,0
TIMER_2019_03_06_at_05_28_47_IMG_0190,0,0,0,0,0,0,0,1,0,4,0,0,0,1,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,2,0,2,0,0,0,0,3,0,0,0,0,0,0,0
TIMER_2019_03_06_at_05_29_51_IMG_0196,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0
